Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
34,ORD-2020-12694,2020-01-05,2020-01-06,Same Day,CUS-64647,Customer 544,Home Office,United States,OHI-City-3,Ohio,44707,Central,OFF-ART-1792,Office Supplies,Art,Art Standard 675,925.07,4,0.2,165.71
35,ORD-2020-60645,2020-01-05,2020-01-08,Same Day,CUS-46030,Customer 812,Consumer,United States,MIC-City-1,Michigan,37876,Central,TEC-COP-7784,Technology,Copiers,Copiers Pro 686,1254.06,2,0.3,115.07
36,ORD-2020-85436,2020-01-05,2020-01-09,Second Class,CUS-94089,Customer 898,Home Office,United States,TEX-City-5,Texas,69978,Central,OFF-APP-3354,Office Supplies,Appliances,Appliances Elite 388,711.71,15,0.2,133.81
37,ORD-2020-82256,2020-01-06,2020-01-12,Standard Class,CUS-89808,Customer 387,Home Office,United States,ILL-City-5,Illinois,32094,Central,OFF-SUP-7116,Office Supplies,Supplies,Supplies Pro 477,1701.84,4,0.0,567.74
38,ORD-2020-18520,2020-01-06,2020-01-09,Standard Class,CUS-95439,Customer 735,Consumer,United States,OHI-City-1,Ohio,53535,Central,TEC-MAC-9334,Technology,Machines,Machines Elite 309,2412.54,4,0.0,565.27
39,ORD-2020-69525,2020-01-06,2020-01-07,Standard Class,CUS-44563,Customer 383,Home Office,United States,OHI-City-3,Ohio,81307,Central,FUR-TAB-7901,Furniture,Tables,Tables Premium 739,871.83,5,0.1,119.98
40,ORD-2020-22568,2020-01-06,2020-01-11,Same Day,CUS-93858,Customer 663,Consumer,United States,TEX-City-4,Texas,24590,Central,OFF-PAP-8386,Office Supplies,Paper,Paper Premium 133,415.08,1,0.1,98.86
41,ORD-2020-97858,2020-01-06,2020-01-07,Second Class,CUS-79844,Customer 216,Corporate,United States,ILL-City-1,Illinois,82711,Central,OFF-STO-1170,Office Supplies,Storage,Storage Standard 810,1726.58,5,0.15,441.2
42,ORD-2020-42599,2020-01-06,2020-01-13,Standard Class,CUS-32660,Customer 274,Corporate,United States,VIR-City-1,Virginia,38459,South,FUR-TAB-3755,Furniture,Tables,Tables Standard 802,1387.5,1,0.0,267.92
43,ORD-2020-92709,2020-01-07,2020-01-11,Second Class,CUS-44481,Customer 629,Corporate,United States,CON-City-5,Connecticut,33601,East,TEC-ACC-3918,Technology,Accessories,Accessories Pro 528,8029.7,11,0.3,1055.01
44,ORD-2020-26144,2020-01-07,2020-01-12,First Class,CUS-50793,Customer 619,Consumer,United States,NEV-City-3,Nevada,79453,West,TEC-COP-3194,Technology,Copiers,Copiers Pro 178,2202.99,2,0.05,377.31
45,ORD-2020-24903,2020-01-07,2020-01-08,Standard Class,CUS-27828,Customer 359,Consumer,United States,CAL-City-1,California,46805,West,FUR-BOO-8375,Furniture,Bookcases,Bookcases Standard 112,17875.09,13,0.0,4346.89
46,ORD-2020-21941,2020-01-07,2020-01-10,Second Class,CUS-77131,Customer 697,Consumer,United States,CON-City-5,Connecticut,40184,East,FUR-BOO-9964,Furniture,Bookcases,Bookcases Elite 547,257.89,2,0.1,48.88
47,ORD-2020-85583,2020-01-07,2020-01-08,Second Class,CUS-20322,Customer 784,Corporate,United States,IND-City-2,Indiana,94390,Central,OFF-PAP-7579,Office Supplies,Paper,Paper Elite 806,5715.41,12,0.4,129.87
48,ORD-2020-68708,2020-01-08,2020-01-14,Second Class,CUS-48746,Customer 656,Consumer,United States,PEN-City-5,Pennsylvania,25737,East,TEC-COP-4242,Technology,Copiers,Copiers Pro 311,15249.45,8,0.4,1278.26
49,ORD-2020-83795,2020-01-08,2020-01-15,Standard Class,CUS-76030,Customer 409,Home Office,United States,GEO-City-2,Georgia,54947,South,TEC-MAC-3146,Technology,Machines,Machines Standard 119,6276.56,8,0.1,1739.34
50,ORD-2020-92789,2020-01-08,2020-01-15,First Class,CUS-23518,Customer 352,Home Office,United States,IND-City-2,Indiana,37657,Central,OFF-LAB-9282,Office Supplies,Labels,Labels Elite 707,2471.15,15,0.0,532.45
51,ORD-2020-74886,2020-01-08,2020-01-09,First Class,CUS-75887,Customer 105,Home Office,United States,PEN-City-5,Pennsylvania,64736,East,OFF-BIN-1844,Office Supplies,Binders,Binders Premium 779,310.32,2,0.15,64.62
52,ORD-2020-15072,2020-01-08,2020-01-13,Second Class,CUS-48114,Customer 392,Home Office,United States,VIR-City-5,Virginia,42522,South,OFF-PAP-9162,Office Supplies,Paper,Paper Elite 474,405.84,4,0.05,89.06
53,ORD-2020-57689,2020-01-08,2020-01-13,Second Class,CUS-88568,Customer 960,Consumer,United States,ARI-City-2,Arizona,31473,West,OFF-ENV-5581,Office Supplies,Envelopes,Envelopes Premium 924,3568.08,10,0.15,1065.32
54,ORD-2020-78271,2020-01-08,2020-01-10,First Class,CUS-92192,Customer 507,Corporate,United States,CAL-City-4,California,13046,West,TEC-MAC-3556,Technology,Machines,Machines Premium 366,12758.36,13,0.0,3560.07
55,ORD-2020-50100,2020-01-08,2020-01-09,Same Day,CUS-14706,Customer 778,Corporate,United States,VIR-City-2,Virginia,35320,South,OFF-ENV-6371,Office Supplies,Envelopes,Envelopes Standard 477,1255.86,13,0.0,442.21
56,ORD-2020-49876,2020-01-08,2020-01-10,Second Class,CUS-32212,Customer 639,Home Office,United States,TEX-City-2,Texas,48995,Central,OFF-STO-6489,Office Supplies,Storage,Storage Basic 420,1621.33,11,0.0,531.9
57,ORD-2020-49470,2020-01-09,2020-01-12,Same Day,CUS-98891,Customer 45,Corporate,United States,IND-City-2,Indiana,10120,Central,OFF-APP-7555,Office Supplies,Appliances,Appliances Basic 834,2726.96,13,0.0,748.81
58,ORD-2020-12889,2020-01-09,2020-01-15,First Class,CUS-78126,Customer 388,Corporate,United States,FLO-City-2,Florida,29849,South,OFF-FAS-8869,Office Supplies,Fasteners,Fasteners Basic 321,3292.4,8,0.1,1036.54
59,ORD-2020-74429,2020-01-09,2020-01-15,Second Class,CUS-61618,Customer 763,Consumer,United States,MIC-City-5,Michigan,28023,Central,TEC-MAC-5675,Technology,Machines,Machines Elite 686,7673.94,13,0.25,1584.58
60,ORD-2020-86210,2020-01-09,2020-01-13,Standard Class,CUS-19462,Customer 206,Consumer,United States,MAS-City-3,Massachusetts,53717,East,FUR-TAB-7642,Furniture,Tables,Tables Basic 884,1826.62,11,0.0,422.59
61,ORD-2020-42450,2020-01-09,2020-01-10,Standard Class,CUS-30815,Customer 606,Home Office,United States,FLO-City-4,Florida,23614,South,OFF-ENV-9879,Office Supplies,Envelopes,Envelopes Pro 370,530.09,6,0.4,74.29
62,ORD-2020-66441,2020-01-09,2020-01-10,First Class,CUS-63613,Customer 103,Home Office,United States,NOR-City-2,North Carolina,10881,South,TEC-PHO-8349,Technology,Phones,Phones Basic 518,2785.79,8,0.1,751.93
63,ORD-2020-15253,2020-01-09,2020-01-15,Second Class,CUS-24721,Customer 750,Corporate,United States,OHI-City-4,Ohio,90939,Central,OFF-BIN-8243,Office Supplies,Binders,Binders Standard 805,3054.98,11,0.1,473.4
64,ORD-2020-48827,2020-01-09,2020-01-14,Same Day,CUS-63871,Customer 431,Home Office,United States,ILL-City-1,Illinois,71981,Central,TEC-COP-5045,Technology,Copiers,Copiers Premium 984,19056.9,14,0.15,2609.26
65,ORD-2020-42613,2020-01-10,2020-01-11,Second Class,CUS-10540,Customer 642,Home Office,United States,ORE-City-1,Oregon,60272,West,OFF-SUP-4122,Office Supplies,Supplies,Supplies Pro 792,5269.29,12,0.1,926.27
66,ORD-2020-59389,2020-01-10,2020-01-13,Same Day,CUS-89978,Customer 342,Consumer,United States,NEW-City-1,New York,46910,East,OFF-ART-2608,Office Supplies,Art,Art Elite 648,3262.7,9,0.2,657.95
67,ORD-2020-24665,2020-01-10,2020-01-12,Second Class,CUS-79001,Customer 329,Corporate,United States,PEN-City-2,Pennsylvania,24105,East,TEC-PHO-9119,Technology,Phones,Phones Pro 867,7992.31,11,0.05,2199.91
68,ORD-2020-54185,2020-01-10,2020-01-13,Standard Class,CUS-86162,Customer 424,Corporate,United States,NEW-City-4,New Jersey,28002,East,OFF-STO-7493,Office Supplies,Storage,Storage Premium 713,380.32,2,0.0,99.87
69,ORD-2020-38726,2020-01-10,2020-01-12,First Class,CUS-42903,Customer 937,Consumer,United States,NEV-City-4,Nevada,34996,West,TEC-COP-9588,Technology,Copiers,Copiers Standard 207,21261.78,11,0.0,7021.69
70,ORD-2020-62825,2020-01-10,2020-01-17,Second Class,CUS-61486,Customer 596,Corporate,United States,MIC-City-5,Michigan,34625,Central,OFF-ART-2621,Office Supplies,Art,Art Elite 994,2356.65,7,0.4,94.12
71,ORD-2020-40481,2020-01-10,2020-01-16,Same Day,CUS-63541,Customer 664,Consumer,United States,ARI-City-4,Arizona,29218,West,TEC-ACC-1407,Technology,Accessories,Accessories Standard 854,7771.07,14,0.4,314.66
72,ORD-2020-27858,2020-01-11,2020-01-12,Same Day,CUS-69326,Customer 247,Consumer,United States,CON-City-5,Connecticut,58908,East,TEC-ACC-3636,Technology,Accessories,Accessories Standard 834,1619.0,2,0.3,299.25
73,ORD-2020-80510,2020-01-11,2020-01-16,Same Day,CUS-54275,Customer 182,Corporate,United States,NEW-City-4,New York,24946,East,FUR-CHA-6859,Furniture,Chairs,Chairs Pro 658,8402.62,6,0.1,660.9
74,ORD-2020-86992,2020-01-11,2020-01-16,Standard Class,CUS-10090,Customer 927,Corporate,United States,PEN-City-3,Pennsylvania,70234,East,OFF-ENV-5763,Office Supplies,Envelopes,Envelopes Premium 537,964.34,4,0.1,229.76
75,ORD-2020-36735,2020-01-11,2020-01-15,Same Day,CUS-35992,Customer 644,Consumer,United States,FLO-City-5,Florida,86306,South,FUR-FUR-8599,Furniture,Furnishings,Furnishings Elite 128,5478.72,12,0.0,760.01
76,ORD-2020-40793,2020-01-11,2020-01-16,First Class,CUS-10523,Customer 384,Corporate,United States,VIR-City-4,Virginia,61589,South,OFF-ENV-2102,Office Supplies,Envelopes,Envelopes Basic 773,1682.45,8,0.4,52.0
77,ORD-2020-54275,2020-01-11,2020-01-17,Standard Class,CUS-81809,Customer 556,Consumer,United States,GEO-City-4,Georgia,28034,South,OFF-PAP-1122,Office Supplies,Paper,Paper Elite 763,549.18,5,0.05,109.9
78,ORD-2020-32264,2020-01-11,2020-01-14,Same Day,CUS-86085,Customer 184,Corporate,United States,NOR-City-4,North Carolina,51591,South,TEC-COP-3166,Technology,Copiers,Copiers Basic 142,10670.92,15,0.25,548.31
79,ORD-2020-11889,2020-01-11,2020-01-17,First Class,CUS-28508,Customer 178,Consumer,United States,ARI-City-4,Arizona,97931,West,FUR-FUR-1621,Furniture,Furnishings,Furnishings Standard 726,894.17,7,0.0,102.88
80,ORD-2020-23674,2020-01-11,2020-01-12,First Class,CUS-62460,Customer 765,Corporate,United States,ILL-City-4,Illinois,55226,Central,TEC-ACC-7139,Technology,Accessories,Accessories Basic 508,3356.21,6,0.2,759.01
81,ORD-2020-92713,2020-01-12,2020-01-14,Second Class,CUS-86369,Customer 135,Consumer,United States,CON-City-2,Connecticut,65578,East,FUR-TAB-6557,Furniture,Tables,Tables Pro 415,5006.47,7,0.1,782.48
82,ORD-2020-95500,2020-01-12,2020-01-13,Second Class,CUS-71250,Customer 42,Corporate,United States,ILL-City-5,Illinois,72473,Central,OFF-ENV-8024,Office Supplies,Envelopes,Envelopes Basic 410,183.39,7,0.0,53.7
83,ORD-2020-84398,2020-01-12,2020-01-14,First Class,CUS-37206,Customer 5,Home Office,United States,GEO-City-2,Georgia,33661,South,TEC-PHO-4559,Technology,Phones,Phones Pro 459,22328.73,12,0.4,802.09
84,ORD-2020-21406,2020-01-12,2020-01-19,Same Day,CUS-57815,Customer 613,Corporate,United States,MIC-City-4,Michigan,24342,Central,FUR-TAB-3577,Furniture,Tables,Tables Premium 331,8649.31,13,0.15,452.51
85,ORD-2020-85061,2020-01-12,2020-01-15,First Class,CUS-96755,Customer 309,Corporate,United States,GEO-City-1,Georgia,34100,South,FUR-TAB-1833,Furniture,Tables,Tables Basic 963,2365.05,2,0.15,245.51
86,ORD-2020-82569,2020-01-12,2020-01-13,Standard Class,CUS-11640,Customer 689,Home Office,United States,NEW-City-5,New York,82596,East,TEC-MAC-3362,Technology,Machines,Machines Elite 518,14182.15,12,0.4,1973.52
87,ORD-2020-72813,2020-01-12,2020-01-16,First Class,CUS-28941,Customer 960,Corporate,United States,FLO-City-3,Florida,35663,South,TEC-MAC-9540,Technology,Machines,Machines Elite 513,8316.87,11,0.15,1906.97
88,ORD-2020-61852,2020-01-12,2020-01-14,Same Day,CUS-42307,Customer 482,Consumer,United States,VIR-City-1,Virginia,89814,South,FUR-BOO-9160,Furniture,Bookcases,Bookcases Pro 556,11473.1,14,0.05,1016.35
89,ORD-2020-75951,2020-01-13,2020-01-19,Standard Class,CUS-63706,Customer 120,Corporate,United States,MAS-City-2,Massachusetts,79892,East,FUR-CHA-8652,Furniture,Chairs,Chairs Basic 555,8734.84,6,0.2,759.35
90,ORD-2020-66020,2020-01-13,2020-01-16,First Class,CUS-35667,Customer 494,Consumer,United States,MAS-City-3,Massachusetts,87403,East,FUR-TAB-7318,Furniture,Tables,Tables Elite 883,2042.47,11,0.0,364.35
91,ORD-2020-88145,2020-01-13,2020-01-14,Second Class,CUS-48210,Customer 292,Home Office,United States,PEN-City-3,Pennsylvania,52922,East,FUR-FUR-7973,Furniture,Furnishings,Furnishings Standard 594,2492.65,3,0.15,201.03
92,ORD-2020-14686,2020-01-13,2020-01-15,Standard Class,CUS-51763,Customer 99,Home Office,United States,WAS-City-1,Washington,81572,West,FUR-FUR-4574,Furniture,Furnishings,Furnishings Basic 142,21761.03,15,0.0,4661.33
93,ORD-2020-88206,2020-01-13,2020-01-14,Standard Class,CUS-59012,Customer 221,Corporate,United States,CAL-City-3,California,70100,West,TEC-ACC-5886,Technology,Accessories,Accessories Elite 773,2255.48,10,0.0,769.94
94,ORD-2020-84113,2020-01-13,2020-01-17,Same Day,CUS-22766,Customer 842,Corporate,United States,FLO-City-1,Florida,86626,South,FUR-TAB-2753,Furniture,Tables,Tables Standard 708,6204.27,12,0.0,733.45
95,ORD-2020-90008,2020-01-13,2020-01-17,Second Class,CUS-58732,Customer 999,Consumer,United States,NEW-City-3,New York,96106,East,TEC-PHO-2498,Technology,Phones,Phones Pro 688,13362.34,14,0.0,4626.19
96,ORD-2020-64563,2020-01-13,2020-01-20,Standard Class,CUS-45940,Customer 217,Consumer,United States,OHI-City-4,Ohio,23416,Central,TEC-PHO-2298,Technology,Phones,Phones Elite 221,11213.5,15,0.1,1560.99
97,ORD-2020-68916,2020-01-13,2020-01-18,First Class,CUS-28350,Customer 570,Home Office,United States,NOR-City-3,North Carolina,90567,South,FUR-BOO-2403,Furniture,Bookcases,Bookcases Elite 501,5563.96,4,0.0,700.27
98,ORD-2020-25916,2020-01-13,2020-01-16,Same Day,CUS-26422,Customer 122,Home Office,United States,IND-City-1,Indiana,86997,Central,OFF-PAP-6233,Office Supplies,Paper,Paper Premium 722,518.42,3,0.2,124.16
99,ORD-2020-72297,2020-01-13,2020-01-19,First Class,CUS-92894,Customer 480,Corporate,United States,NEW-City-3,New Jersey,19938,East,FUR-TAB-4311,Furniture,Tables,Tables Premium 708,15954.85,12,0.0,2222.6
100,ORD-2020-59338,2020-01-14,2020-01-21,Same Day,CUS-84720,Customer 229,Home Office,United States,ARI-City-2,Arizona,43006,West,OFF-LAB-8070,Office Supplies,Labels,Labels Standard 285,1183.83,6,0.25,176.35
101,ORD-2020-58104,2020-01-14,2020-01-17,First Class,CUS-95084,Customer 644,Home Office,United States,VIR-City-1,Virginia,49071,South,OFF-FAS-6201,Office Supplies,Fasteners,Fasteners Premium 674,114.46,2,0.3,16.27
102,ORD-2020-27842,2020-01-14,2020-01-18,First Class,CUS-95332,Customer 998,Home Office,United States,IND-City-4,Indiana,33283,Central,OFF-FAS-6484,Office Supplies,Fasteners,Fasteners Premium 935,1821.54,6,0.05,493.28
103,ORD-2020-56607,2020-01-14,2020-01-19,Second Class,CUS-75676,Customer 655,Consumer,United States,NEW-City-1,New Jersey,10622,East,FUR-FUR-9466,Furniture,Furnishings,Furnishings Basic 315,10584.77,13,0.4,-65.92
104,ORD-2020-44756,2020-01-14,2020-01-16,Second Class,CUS-94091,Customer 143,Corporate,United States,MIC-City-4,Michigan,74493,Central,FUR-FUR-1135,Furniture,Furnishings,Furnishings Premium 788,1803.54,9,0.15,55.87
105,ORD-2020-39095,2020-01-14,2020-01-16,First Class,CUS-87663,Customer 574,Home Office,United States,ILL-City-2,Illinois,18025,Central,OFF-BIN-8847,Office Supplies,Binders,Binders Premium 540,236.81,6,0.15,68.01
106,ORD-2020-44800,2020-01-14,2020-01-18,Same Day,CUS-71785,Customer 457,Corporate,United States,MIC-City-5,Michigan,91718,Central,FUR-BOO-6807,Furniture,Bookcases,Bookcases Standard 993,7385.94,7,0.2,111.64
107,ORD-2020-55864,2020-01-14,2020-01-18,First Class,CUS-71952,Customer 908,Consumer,United States,TEN-City-4,Tennessee,71159,South,OFF-ENV-6032,Office Supplies,Envelopes,Envelopes Pro 397,1938.17,7,0.15,316.48
108,ORD-2020-44552,2020-01-15,2020-01-19,First Class,CUS-59043,Customer 417,Consumer,United States,NOR-City-5,North Carolina,64171,South,FUR-FUR-6344,Furniture,Furnishings,Furnishings Pro 589,13876.65,12,0.05,2302.15
109,ORD-2020-25425,2020-01-15,2020-01-22,Same Day,CUS-90522,Customer 11,Consumer,United States,OHI-City-5,Ohio,96929,Central,FUR-FUR-4026,Furniture,Furnishings,Furnishings Basic 159,11768.66,9,0.3,-156.19
110,ORD-2020-38687,2020-01-15,2020-01-19,Same Day,CUS-54971,Customer 461,Home Office,United States,NEW-City-1,New York,19485,East,FUR-TAB-3374,Furniture,Tables,Tables Basic 499,5862.54,4,0.05,1273.29
111,ORD-2020-39715,2020-01-15,2020-01-16,Same Day,CUS-93263,Customer 318,Home Office,United States,ILL-City-1,Illinois,84419,Central,TEC-MAC-6077,Technology,Machines,Machines Elite 604,11967.05,7,0.05,2246.57
112,ORD-2020-40568,2020-01-15,2020-01-20,Second Class,CUS-45009,Customer 203,Consumer,United States,ILL-City-2,Illinois,77454,Central,OFF-STO-4349,Office Supplies,Storage,Storage Premium 111,729.03,11,0.3,165.82
113,ORD-2020-73159,2020-01-15,2020-01-18,Standard Class,CUS-96501,Customer 525,Consumer,United States,IND-City-5,Indiana,83290,Central,FUR-FUR-2363,Furniture,Furnishings,Furnishings Pro 145,6263.03,9,0.4,15.17
114,ORD-2020-72027,2020-01-15,2020-01-21,First Class,CUS-44843,Customer 955,Corporate,United States,NEW-City-2,New York,54967,East,TEC-PHO-7154,Technology,Phones,Phones Basic 632,8874.35,10,0.15,1875.79
115,ORD-2020-59902,2020-01-15,2020-01-20,First Class,CUS-25921,Customer 234,Consumer,United States,TEN-City-1,Tennessee,76381,South,TEC-ACC-7915,Technology,Accessories,Accessories Standard 698,1840.28,1,0.0,335.67
116,ORD-2020-77469,2020-01-15,2020-01-19,Second Class,CUS-39947,Customer 49,Home Office,United States,ARI-City-5,Arizona,22182,West,TEC-MAC-6330,Technology,Machines,Machines Basic 940,13504.55,15,0.1,3735.37
117,ORD-2020-58231,2020-01-15,2020-01-21,First Class,CUS-89842,Customer 915,Consumer,United States,FLO-City-5,Florida,33730,South,OFF-ART-6070,Office Supplies,Art,Art Elite 282,4622.91,12,0.15,1129.15
118,ORD-2020-38869,2020-01-15,2020-01-22,Standard Class,CUS-86945,Customer 688,Consumer,United States,VIR-City-1,Virginia,91204,South,TEC-PHO-5185,Technology,Phones,Phones Pro 987,1000.62,8,0.2,52.32
